Year,Location,Chair,City
1974,University of Tennessee,I. Alexeff,"Knoxville, TN"
1975,University of Michigan,R.R. Johnson,"Ann Arbor, MI"
1976,University of Texas,E.J. Powers,"Austin, TX"
1977,Rensselaer Polytechnic Institute,R.L. Hickok,"Troy, NY"
1978,Doubletree Inn,R. Schwirzke,"Monterey, CA"
1979,Universite de Montreal,C. Richard,"Montreal, Canada"
1980,University of Wisconsin,J.L. Shohet,"Madison, WI"
1981,Sweeney Convention Center,S.J. Gitome,"Santa Fe, NM"
1982,Carleton University,A.J. Alcock,"Ottawa, Canada"
1983,Sheraton Harbor Island Hotel,J.L. Luxon,"San Diego, CA"
1984,Clarion Hotel,T.J. Menne,"St. Louis, MO"
1985,Pittsburg Hilton Hotel,M.D. Nahemow,"Pittsburg, PA"
1986,Ramada Renaissance Hotel & Bessborough Hotel,A. Hirose,"Saskatoon, Canada"
1987,Hyatt Regency Crystal City,F.C. Young,"Arlington, VA"
1988,Seattle Sheraton Hotel,L.C. Steinhaue,"Seattle, WA"
1989,Hyatt Regency,D.M. Benson,"Buffalo, NY"
1990,Hyatt Regency,J.N. Benford,"Oakland, CA"
1991,College of William and Mary,K.H. Schoenbach,"Williamsburg, VA"
1992,Hyatt Regency Westshore,N.L. Oleson,"Tampa, FL"
1993,Sheraton Landmark Hotel,,"Vancouver, Canada"
1994,Sweeney Convention Center,A.L. Peratt,"Santa Fe, NM"
1995,University of Wisconsin,J.E. Scharer,"Madison, WI"
1996,Boston Park Plaza Hotel,C. Chan,"Boston, MA"
1997,Catamaran Resort Hotel,J. Hyman,"San Diego, CA"
1998,North Raleigh Hilton,J. Gilligan,"Raleigh, NC"
1999,Doubletree Hotel,C. Deeney,"Monterey, CA"
2000,Fairmont Hotel,M. Mazzola,"New Orleans, LA"
2001,Rio Hotel and Convention Center,T. Hussey,"Las Vegas, NV"
2002,Banff Centre for Conferences,R. Fedosejevs,"Banff, Canada"
2003,Lotte Hotel,K.-S. Chung,"Jeju, Korea"
2004,The Hyatt Regency-Baltimore,R.J. Commisso,"Baltimore, MD"
2005,Portola Plaza and Conference Center,R.C. Cauble,"Monterey, CA"
2006,Grand Traverse Resort and Spa,J. Asmussen,"Traverse City, MI"
2007,Albuquerque Convention Center,E. Schamiloglu,"Albuquerque, NM"
2008,Congress Center Karlsruhe,M. Thumm,"Karlsruhe, Germany"
2009,Omni Hotel San Diego,F. Beg,"San Diego, CA"
2010,Marriot Waterside,M. Larouss,"Norfolk, VA"
2011,Hyatt Regency McCormick Place,A. Hassanein,"Chicago, IL"
2012,Edinburgh International Conference Centre,M.G. Kong,"Edinburgh, UK"
2013,Hyatt Regency Embarcadero,B. Oliver,"San Francisco, CA"
2014,Marriott-Wardman Park,J. Schumer,"Washington, DC"
2015,Cornelia Convention Center, L. &Ouml;ks&uuml;z,"Antalya, Turkey"
2016,The Banff Centre,Y.Y. Tsui,"Banff, Canada"
2017,Harrah's Atlantic City Resort,J. Lopez,"Jersey City, NJ"
2018,Sheraton Downtown Hotel,T. Munsat,"Denver, CO"
2019,Doubletree by Hilton Hotel,R. Allen,"Orlando, FL"
2020,Marina Bay Sands,R. Rawat,Singapore
2021,Harrah's & Harvey's Lake Tahoe Resort,A. Safranova,"Stateline, NV"
